АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
:::8::::::
:::6::::::
:::6::::::
:::6::::::
:::9::::::
:::8::::::
:::8::::::
:::6::::::
:::10::::::
:::7::::::
:::9::::::
:::10::::::
:::9::::::
:::9::::::
:::9::::::
:::10::::::
:::9::::::
