АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
::::::::2:
::::::::7:
::::::::2:
::::::::5:
:::::::::
::::::::6:
::::::::8:
::::::::6:
::::::::5:
::::::::6:
::::::::5:
::::::::5:
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
