АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
::9:::::::
::6:::::::
::6:::::::
::8:::::::
::7:::::::
::6:::::::
::6:::::::
::6:::::::
::9:::::::
::6:::::::
::6:::::::
::8:::::::
::8:::::::
::9:::::::
::10:::::::
::10:::::::
::10:::::::
