АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
10:::::::::
10:::::::::
7:::::::::
8:::::::::
:::::::::
8:::::::::
10:::::::::
7:::::::::
9:::::::::
9:::::::::
7:::::::::
10:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
