АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
2:7::::7:2:2:2:1
:::::::::
:::::::::
:::::::::
7:5::::5:2:8:2:6
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
5:1::::10:2:5:2:5
:::::::::
:::::::::
:::::::::
:::::::::
