АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
6:2:2:6:8:9:2:8:1:7
:::::::::
:::::::::
:::::::::
6:5:3:7:5:8:3:6:2:7
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
4:4:5:6:7:9:3:8:2:7
:::::::::
:::::::::
:::::::::
:::::::::
