АТС-1:АТС-2:БАС:БДиМО:ВРС:ИБС:ИРС:ИЭС:Нано:НМиС:ППТ:Финтех:VR:Космос:Нейро:Телеком:УД:ЯТ
::7:8:10:9:8:8:9:6:9:5:6::7:6:7:7
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
::9:10:10:10:7:6:10:5:8:10:9::7:6:5:6
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
