АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
7:6:4:7:4::::4:3
:::::::::
:::::::::
:::::::::
7:8:5:9:5::::4:3
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
9:6:8:8:5::::6:6
:::::::::
:::::::::
:::::::::
:::::::::
