АТС-1:АТС-2:БАС:БДиМО:ВРС:ИБС:ИРС:ИЭС:Нано:НМиС:ППТ:Финтех:VR:Космос:Нейро:Телеком:УД:ЯТ
7:8:::8::8::::::::::8:
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
8:7:::7::7::::::::::7:
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
