АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
:7::::::::
:6::::::::
:7::::::::
:8::::::::
:7::::::::
:8::::::::
:9::::::::
:8::::::::
:7::::::::
:8::::::::
:7::::::::
:8::::::::
:8::::::::
:8::::::::
:7::::::::
:8::::::::
:8::::::::
