АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
::::::::9:8
::::::::9:8
::::::::9:9
::::::::9:7
::::::::9:7
::::::::9:7
::::::::9:9
::::::::8:8
::::::::8:8
::::::::8:8
::::::::9:8
::::::::9:9
::::::::9:9
::::::::10:10
::::::::7:9
::::::::6:9
::::::::4:5
