АТС-1:АТС-2:БАС:БДиМО:ВРС:ИБС:ИРС:ИЭС:Нано:НМиС:ППТ:Финтех:VR:Космос:Нейро:Телеком:УД:ЯТ
7::7:8:8:::::::::9::9::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
8::8:7:8:::::::::8::8::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
