АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
::4:::::::
:::::::::
:::::::::
:::::::::
::4:::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
::4:::::::
:::::::::
:::::::::
:::::::::
:::::::::
