АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
8:::::::::
7:::::::::
8:::::::::
7:::::::::
7:::::::::
8:::::::::
8:::::::::
7:::::::::
9:::::::::
7:::::::::
8:::::::::
9:::::::::
9:::::::::
5:::::::::
8:::::::::
6:::::::::
4:::::::::
