АТС-1:АТС-2:БАС:БДиМО:ВРС:ИБС:ИРС:ИЭС:Нано:НМиС:ППТ:Финтех:VR:Космос:Нейро:Телеком:УД:ЯТ
6:::6:8::::::::6:::6:6:
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
6:::9:6::::::::9:::6:7:
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
