АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
::::2:1:8:6:7:4
:::::::::
:::::::::
:::::::::
::::3:1:8:6:7:3
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
:::::::::
::::3:3:8:7:9:3
:::::::::
:::::::::
:::::::::
:::::::::
