АТС-1:АТС-2:БАС:БДиМО:ВРС:ИБС:ИРС:ИЭС:Нано:НМиС:ППТ:Финтех:VR:Космос:Нейро:Телеком:УД:ЯТ
5:6::8:7:5:4:8:5:10:4:8:7:9:9:8:8:8
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
6:8::8:7:6:8:9:5:9:7:6:7:9:8:6:5:9
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
:::::::::::::::::
