АКСиПД:АДР:АКС:Геном:ИТБ:Кибер:Когнит:Композ:НаучКом:Ракеты
:7::::::5::
:::::::::
:::::::::
:::::::::
:8::::::5::
:::::::::
:7::::::5::
:::::::::
:::::::::
:::::::::
:::::::::
:6::::::7::
:6::::::7::
:7::::::7::
:7::::::7::
:5::::::7::
:5::::::7::
